host,port,category,description,expected,detected,confidence,latency_ms,error
scanme.nmap.org,22,standard,SSH standard,ssh,ssh,100,591.19,
scanme.nmap.org,80,standard,HTTP standard,http,http,90,591.07,
127.0.0.1,6379,standard,Redis Docker,redis,redis,30,4.39,
127.0.0.1,5432,standard,PostgreSQL Docker,postgresql,postgresql,30,4.38,
127.0.0.1,8080,nonstandard,HTTP on 8080,http,http,30,4.37,
127.0.0.1,8000,nonstandard,HTTP on 8000,http,http,30,2.79,
127.0.0.1,8888,nonstandard,HTTP on 8888,http,http,30,2.81,
127.0.0.1,3000,nonstandard,HTTP on 3000,http,http,90,4.52,
127.0.0.1,8443,nonstandard,HTTPS on 8443,https,https,30,2.8,
127.0.0.1,16379,nonstandard,Redis on non-standard,redis,unknown,10,2.79,
127.0.0.1,15432,nonstandard,PostgreSQL on non-standard,postgresql,unknown,10,2.78,
127.0.0.1,2222,obfuscated,Telnet on unusual port,telnet,unknown,10,2.78,
127.0.0.1,9999,partial,Empty response,unknown,unknown,10,2.77,
127.0.0.1,9998,partial,Garbage data,unknown,unknown,10,2.72,
127.0.0.1,9990,filtered,Closed port,filtered,unknown,10,2.71,
127.0.0.1,9991,filtered,Another closed port,filtered,unknown,10,1.26,
127.0.0.1,1,filtered,Port 1 (usually filtered),filtered,unknown,10,1.24,
127.0.0.1,65535,filtered,Last port,filtered,unknown,10,1.22,
127.0.0.1,9000,unknown,Custom Python server (if any),unknown,sonicwall,30,1.21,
127.0.0.1,12345,unknown,Random port,unknown,unknown,10,1.2,
scanme.nmap.org,22,standard,SSH standard,ssh,ssh,100,600.68,
scanme.nmap.org,80,standard,HTTP standard,http,http,90,598.95,
127.0.0.1,6379,standard,Redis Docker,redis,redis,30,4.09,
127.0.0.1,5432,standard,PostgreSQL Docker,postgresql,postgresql,30,4.09,
127.0.0.1,8080,nonstandard,HTTP on 8080,http,http,30,4.08,
127.0.0.1,8000,nonstandard,HTTP on 8000,http,http,30,2.64,
127.0.0.1,8888,nonstandard,HTTP on 8888,http,http,30,2.62,
127.0.0.1,3000,nonstandard,HTTP on 3000,http,http,90,4.2,
127.0.0.1,8443,nonstandard,HTTPS on 8443,https,https,30,2.58,
127.0.0.1,16379,nonstandard,Redis on non-standard,redis,unknown,10,2.57,
127.0.0.1,15432,nonstandard,PostgreSQL on non-standard,postgresql,unknown,10,2.56,
127.0.0.1,2222,obfuscated,Telnet on unusual port,telnet,unknown,10,1.69,
127.0.0.1,9999,partial,Empty response,unknown,unknown,10,1.67,
127.0.0.1,9998,partial,Garbage data,unknown,unknown,10,1.67,
127.0.0.1,9990,filtered,Closed port,filtered,unknown,10,1.66,
127.0.0.1,9991,filtered,Another closed port,filtered,unknown,10,1.04,
127.0.0.1,1,filtered,Port 1 (usually filtered),filtered,unknown,10,1.03,
127.0.0.1,65535,filtered,Last port,filtered,unknown,10,1.02,
127.0.0.1,9000,unknown,Custom Python server (if any),unknown,sonicwall,30,1.01,
127.0.0.1,12345,unknown,Random port,unknown,unknown,10,1.0,
scanme.nmap.org,22,standard,SSH standard,ssh,ssh,100,612.27,
scanme.nmap.org,80,standard,HTTP standard,http,http,90,617.25,
127.0.0.1,6379,standard,Redis Docker,redis,redis,30,3.94,
127.0.0.1,5432,standard,PostgreSQL Docker,postgresql,postgresql,30,3.93,
127.0.0.1,8080,nonstandard,HTTP on 8080,http,http,30,3.9,
127.0.0.1,8000,nonstandard,HTTP on 8000,http,http,30,2.09,
127.0.0.1,8888,nonstandard,HTTP on 8888,http,http,30,2.09,
127.0.0.1,3000,nonstandard,HTTP on 3000,http,http,90,4.1,
127.0.0.1,8443,nonstandard,HTTPS on 8443,https,https,30,2.06,
127.0.0.1,16379,nonstandard,Redis on non-standard,redis,unknown,10,2.05,
127.0.0.1,15432,nonstandard,PostgreSQL on non-standard,postgresql,unknown,10,2.03,
127.0.0.1,2222,obfuscated,Telnet on unusual port,telnet,unknown,10,2.02,
127.0.0.1,9999,partial,Empty response,unknown,unknown,10,1.78,
127.0.0.1,9998,partial,Garbage data,unknown,unknown,10,1.77,
127.0.0.1,9990,filtered,Closed port,filtered,unknown,10,1.77,
127.0.0.1,9991,filtered,Another closed port,filtered,unknown,10,1.53,
127.0.0.1,1,filtered,Port 1 (usually filtered),filtered,unknown,10,1.52,
127.0.0.1,65535,filtered,Last port,filtered,unknown,10,1.52,
127.0.0.1,9000,unknown,Custom Python server (if any),unknown,sonicwall,30,1.52,
127.0.0.1,12345,unknown,Random port,unknown,unknown,10,1.52,
